 	ActiveWear								
2019_Ann_Sale_Day1	エキスポホール 1日目								
2019_Ann_Sale_Day2	エキスポホール 2日目								
2019_Ann_Sale_Day3	エキスポホール 3日目								
2019_Ann_Sale_Day4	エキスポホール 4日目								
2019_Ann_Sale_Day5	エキスポホール 5日目								
2019_Ann_Sale_Day6_01	エキスポホール 6日目第一部								
2019_Ann_Sale_Day6_02	エキスポホール 6日目第二部								
2019_Ann_Sale_Day7	エキスポホール 7日目								
2019_Ann_Sale_Day8	エキスポホール 8日目								
2019_Ann_Sale_Day9	エキスポホール 9日目 - Best of Show								
890_J_MissionTest	WIP ハッキングが完了する前に無効にする %ls								
890_J_Mission_Obj_VIP_Long	WIP - VIP の保護								
890_J_Mission_Obj_VIP_Short	WIP - VIP の保護								
890_J_Mission_WaypointVIP	WIP - VIP を防衛								
890_J_Mobi_Desc	WIP - ハイジャックされた890に行き、ハイジャック/ハッキングを止める								
890_J_Mobi_Title	WIP - 890 ジャンプ危機								
890_J_Screen									
@Invictus_TourSoon	Invictus Coming Soon								
ATC_Area18	エリア18 着陸サービス								
ATC_Automated	自動着陸サービス								
ATC_CryAstro	クライ・アストロ機体サービス								
ATC_GrimHEX	グリーン・インペリアル着陸サービス								
ATC_Levski	レフスキー着陸管制								
ATC_Lorville	ローヴィル着陸サービス								
ATC_Lorville_Gate01	ローヴィルゲート01								
ATC_Lorville_Gate02	ローヴィルゲート02								
ATC_Lorville_Gate03	ローヴィルゲート03								
ATC_Lorville_Gate04	ローヴィルゲート04								
ATC_Lorville_Gate05	ローヴィルゲート05								
ATC_Lorville_Gate06	ローヴィルゲート06								
ATC_Orison	オリゾン着陸サービス								
ATC_OutpostArcCorp	ArcCorp社前哨基地着陸サービス								
ATC_OutpostGeneric	前哨基地着陸管制								
ATC_OutpostRayari	ラヤリ・前哨基地着陸サービス								
ATC_OutpostShubin	Shubin 前哨基地着陸管制								
ATC_OutpostTerraMills	テラミルズ前哨基地 着陸管理								
ATC_PlatinumBay	プラチナ・ベイ着陸サービス								
ATC_PortOlisar	ポート・オリザー着陸サービス								
ATC_RandR	R&R 着陸サービス								
AaronHalo	アーロン・ヘイロー								
AbandonedOutpost_001	放棄された前哨基地								
AbandonedOutpost_001_desc	KEEP OUT。この構造物はもはや現役ではありません。使用したり、占有したり、立ち入ったりしないでください。								
Aciedo_CommArray_desc_shared	アシエドが所有・運営するこの通信アレイは、この宇宙空間に通信範囲とECNサービスを提供している。								
Activation_Off	復旧								
Activation_Offline	- オフライン-								
Activation_On	復旧中								
Admin_Ask_Work	仕事があるのか？								
Admin_Blackbox_Dropoff_Request	ブラックボックスを下ろしてください。								
Admin_Counter_Marker_01	デリバリー ドロップオフ								
Admin_Deliver_Marker_01	配達する。								
Admin_Delivery_Dropoff_Request	配達する。								
Admin_Delivery_Pickup_Request	集荷してください。								
Admin_Goodbye	Goodbye								
Admin_Help_Cargo	貨物を売ります。								
Admin_Pickup_Marker_01	ピックアップ								
Admin_Repair_Pickup_Request	パワーコアをピックアップします。								
Admin_Small_Talk	どうですか？								
Alerts_BeingArrested	現在地に留まれ。逮捕を実行中								
Alerts_BeingScanned	静止せよ。スキャン進行中								
ArcCorp_desc_shared	ArcCorp社が所有・運営する採掘施設。								
AstroArmada_Salesperson_Conv_001_1	[PH] Line 1: ブラブラブラブラ								
BHG_Certification_Criminal_Desc	バウンティ・ハンターズ・ギルドは、メンバーの推薦により、あなたに容疑者逮捕の資格を与えることにしました。\n\n彼らは高度な操縦技術を持ち、行動を予測するのが難しく、平均的なターゲットよりも多くの資源を持っていることが多いため、本当に難しいのです。\n\nこの認定プロセスを完了するためには、指名手配された容疑者である ~mission(TargetName) を逮捕する必要があります。								
BHG_Certification_Criminal_Title	容疑者逮捕の認定 								
