DataHeist_AccessCard,P=アクセスカード
DataHeist_ECT_Access,P=ユーザー: ロック中 (アクセスカードを挿入してください)
DataHeist_ECT_AccessCardInvalid,P=アクセスカードの認証情報が無効です。 セキュリティに通知されました。
DataHeist_ECT_Access_AccessCardInvalid,P=アクセスカード無効
DataHeist_ECT_Access_CardConfiscated,P=! カード没収 !
DataHeist_ECT_Access_Denied,P=アクセス拒否
DataHeist_ECT_Access_Granted,P=アクセス許可
DataHeist_ECT_Access_InsertAccessCard,P=アクセスカードを挿入
DataHeist_ECT_Access_ReadingCard,P=アクセスカード読み取り中
DataHeist_ECT_Access_SecurityBreach,P=! セキュリティ侵害を検出 - 端末がロックされました !
DataHeist_ECT_Access_SystemLockdown,P=システムロックダウン
DataHeist_ECT_Access_TerminalLocked,P=端末ロック中
DataHeist_ECT_Access_Welcome,P=ようこそ
DataHeist_ECT_AttentionRequired_TopBarInfo,P=注意事項
DataHeist_ECT_Connection_Allow,P=許可
DataHeist_ECT_Connection_Info,P=からの接続
DataHeist_ECT_Connection_Info_IP,P=~mission(IPAddress)
DataHeist_ECT_Connection_Lost,P=接続ロスト
DataHeist_ECT_Connection_Reject,P=拒否
DataHeist_ECT_Locked,P=端末がロックされています。 ITサービスにお問い合わせください。
DataHeist_ECT_LoginDetail,P=ユーザー: 管理者アクセス許可
DataHeist_ECT_Notification_ExternalRequest,P=! 外部からのアクセス要求 !
DataHeist_ECT_Notification_RemoteConnectionCancelled,P=! リモート接続キャンセル !
DataHeist_ECT_Notification_SecurityBreach,P=! セキュリティ侵害を検出 - ローカル端末をチェックしてください !
DataHeist_ECT_Notification_ServerDisconnected,P=! サーバー切断 !
DataHeist_ECT_Notification_ServerNotResponding,P=! サーバー応答なし !
DataHeist_ECT_TerminalInfo,P=外部通信
DataHeist_ECT_TopOfScreenInfo_IntrusionDetected,P=侵入を検知
DataHeist_ECT_UploadCancelled,P=アップロード中止
DataHeist_ECT_UploadComplete,P=アップロード完了
DataHeist_ECT_UploadFailed_TopBarInfo,P=アップロード失敗
DataHeist_ECT_UploadHalted_IntrusionNotify,P=ローカルコンピューターでバックドアアクセスを検出。 詳細は端末を確認してください。
DataHeist_ECT_UploadHalted_MiddleInfo,P=アップロードを続行するには、サーバーが冷えている必要があります。
DataHeist_ECT_UploadHalted_TopBarInfo,P=アップロード停止
DataHeist_ECT_Uploading_MiddleInfo_End,P=ダンプ進行中
DataHeist_ECT_Uploading_MiddleInfo_Start,P=サーバー
DataHeist_ECT_Uploading_MiddleInfo_Total,P=アップロードの進捗状況
DataHeist_ECT_Uploading_TopBarInfo,P=アップロード中...
DataHeist_IP_Generic,P=??.???.??.???
DataHeist_IntT_AdminLine,P=リセットコードは
DataHeist_IntT_DataHeist_IntT_ClimateControlDisabled,P=サーバーの空調制御は無効化されています:
DataHeist_IntT_GarbageLine,P=接続終了 - ファイアウォール有効
DataHeist_IntT_GarbageLine_01,P=アクティブなアップロードを照会 - サーバークラスタからのアクティブなアップロード
DataHeist_IntT_GarbageLine_02,P=サーバークラスタの空調制御を解除
DataHeist_IntT_GarbageLine_03,P=アップロード中止 - エラー 管理者権限が必要です
DataHeist_IntT_GarbageLine_04,P=外部からの接続
DataHeist_IntT_GarbageLine_05,P=警告 - 空調制御を無効にすると、データが破損する可能性があります。
DataHeist_IntT_GarbageLine_07,P=続行しますか Y/N - (Y)
DataHeist_IntT_IntrusionActive_Disconnect_Notify,P=! ファイアウォール作動 - 接続切断 !
DataHeist_IntT_IntrusionActive_Notify,P=! 予期しない外部接続 !
DataHeist_IntT_IntrusionNotActive_Notify,P=通知なし
DataHeist_IntT_ServerLine,P=Accessing.~mission(OverheatServerID)_cooling.disabled
DataHeist_IntT_WindowName,P=タスクマネージャー
DataHeist_SvR_Cooling_Status,P=冷却システム:
DataHeist_SvR_Cooling_Status_Off,P=無効
DataHeist_SvR_Cooling_Status_Off_Ext,P=外部端末による無効化
DataHeist_SvR_Cooling_Status_On,P=有効
items_commodities_pressurized_ice,P=氷(加圧)
items_commodities_pressurized_ice_desc,P=圧縮することで、膨張する性質を制限して透明に精製した氷です。これにより大量かつ効率的な輸送が可能になります。
items_commodities_riccite,P=Riccite
items_commodities_riccite_des,P=RicciteはRiccite鉱石から製錬できます。
items_commodities_stileron,P=Stileron
items_commodities_stileron_desc=Stileronは精製が非常に難しく、採掘よりもさらに困難です。その用途がなければ、その努力に値するものではないでしょう。
items_commodities_tin,P=スズ
items_commodities_tin_desc=スズはしなやかで柔らかい金属で、銀白色から青みがかった白色をしています。導電性があり、対腐食性を持ちます。
